Prefix	    When to Use It
feat:	    When you add a new feature (e.g., new UI element, new module)
fix:	    When you fix a bug (e.g., UI error, logic issue, crash fix)
refactor:	When you change code structure without changing its behavior
chore:	    For non-functional tasks (e.g., updating dependencies, config files)
style:	    When you make formatting/style changes (e.g., indentation, spacing, comments)
docs:	    When you add or update documentation (e.g., README.md, code comments)
test:	    When you add or modify tests (e.g., unit tests, integration tests)
perf:	    When you improve performance (e.g., faster queries, optimized loops)
ci:	        When you change CI/CD scripts or pipelines
build:	    When you modify build system or dependencies
revert:	    When you revert a previous commit
